,conversation_id,tweet,username,date,user_id,unix_time,imdb_links
0,1627660953994031106,I rated Homem-Formiga e a Vespa: Quantumania (2023) 8/10 #IMDb https://t.co/OuSxVFoUw1,arouca,2023-02-20 18:56:26,11792552,1676919386.0,https://t.co/OuSxVFoUw1
1,1627656446602084352,I rated The Last of Us: Kin (S1.E6) 9/10 #IMDb https://t.co/yGkflAwmyg,7soonMJ,2023-02-20 18:38:31,2687617989,1676918311.0,https://t.co/yGkflAwmyg
2,1627649494857703424,I rated Better Off Ted (20092010) 6/10 #IMDb https://t.co/dmk8odfKPH,lowprofileagent,2023-02-20 18:10:54,1066074792,1676916654.0,https://t.co/dmk8odfKPH
3,1627642055261405184,I rated The Last of Us: Kin (S1.E6) 10/10 #IMDb https://t.co/SftKs0y8RM,S24Rj,2023-02-20 17:41:20,999985291640426496,1676914880.0,https://t.co/SftKs0y8RM
4,1627637455326248962,I rated The Truman Show (1998) 9/10 #IMDb https://t.co/Kz8Gi6Z4u4,AbdullahMursi,2023-02-20 17:23:04,1360846027796938753,1676913784.0,https://t.co/Kz8Gi6Z4u4
5,1627633592749760512,I rated The Man Who Shot Liberty Valance (1962) 8/10 #IMDb https://t.co/IVYdQT0YQH,zezojackson,2023-02-20 17:07:43,155007177,1676912863.0,https://t.co/IVYdQT0YQH
6,1627633201341427712,I rated The Last of Us: Kin (S1.E6) 10/10 #IMDb this show just keeps breaking my heart https://t.co/IiabmcB3RW,wallflowervu,2023-02-20 17:06:09,696427570569543680,1676912769.0,https://t.co/IiabmcB3RW
7,1627632327915364354,I rated Cow (2021) 7/10 #IMDb https://t.co/BT3lYb1mo9,Kudabayev,2023-02-20 17:02:41,471894826,1676912561.0,https://t.co/BT3lYb1mo9
8,1627619917867413505,I rated Palm Springs (2020) 10/10 #IMDb https://t.co/nWYql4Tglw,TonyLaCerva,2023-02-20 16:13:22,1475077609914572803,1676909602.0,https://t.co/nWYql4Tglw
9,1627618533206069249,I rated The Last of Us (2023) 8/10 #IMDb https://t.co/AIJYL0bcZd,MadeInC_Moon,2023-02-20 16:07:52,973972350562721792,1676909272.0,https://t.co/AIJYL0bcZd
10,1627616027646337024,I rated Ant-Man and the Wasp: Quantumania (2023) 7/10 #IMDb https://t.co/SIKwjKHMWI,Ali_F_Abdullah,2023-02-20 15:57:55,356388383,1676908675.0,https://t.co/SIKwjKHMWI
11,1627611433927344129,I rated Yellowjackets (2021) 7.5/10 #IMDb https://t.co/4CTqzg1ruP,tinashiba48,2023-02-20 15:39:40,58084897,1676907580.0,https://t.co/4CTqzg1ruP
12,1627609288834445314,I rated The Last of Us: Kin (S1.E6) 8/10 #IMDb https://t.co/irbBfry7q9,xNottorious,2023-02-20 15:31:08,1545981924,1676907068.0,https://t.co/irbBfry7q9
13,1627608582991519745,I rated The Last of Us: Kin (S1.E6) 9/10 #IMDb https://t.co/KzBbUYSJZX,Kiki_Zuzu,2023-02-20 15:28:20,415127930,1676906900.0,https://t.co/KzBbUYSJZX
14,1627601337125838850,I rated The Last of Us: Kin (S1.E6) 10/10 #IMDb https://t.co/g6wqle1PZs,SlimOcelot,2023-02-20 14:59:32,2956022389,1676905172.0,https://t.co/g6wqle1PZs
15,1627600231679373312,I rated The Last of Us: Kin (S1.E6) 10/10 #IMDb https://t.co/1kFmcf3GPc,realme1217,2023-02-20 14:55:09,1548695171474358274,1676904909.0,https://t.co/1kFmcf3GPc
16,1627594918070812672,I rated Ant-Man and the Wasp: Quantumania (2023) 7/10 #IMDb https://t.co/Td6v1hUdcT,XxRash,2023-02-20 14:34:02,365329102,1676903642.0,https://t.co/Td6v1hUdcT
17,1627586879045480449,I rated The Last of Us: Kin (S1.E6) 10/10 #IMDb https://t.co/Fqb5uSICo5,super_tarok,2023-02-20 14:02:05,764839022,1676901725.0,https://t.co/Fqb5uSICo5
18,1627574084589568005,"I rated ""The Last of Us"" Kin (TV Episode 2023) 10 / 10 - #IMDb #TheLastOfUs - https://t.co/WveZV0Jgyb",RawanTries,2023-02-20 13:11:15,1610268196505788416,1676898675.0,https://t.co/WveZV0Jgyb
